data,text,sentiment,filtered_text
https://twitter.com/mathiasaserbire/status/1745392499651219846#m,Ghanaian Chef Faila ends world record cook-a-thon attempt after  227 hours https://www.graphic.com.gh/entertainment/showbiz-news/ghanaian-chef-faila-takes-bite-out-of-world-record-with-227-hour-cook-a-thon.html?fbclid=IwAR1gjGJq7rsS8AsR7Oh0zgiVQVU6D3O4DyEmfr5BahKBFqLhiroCzFvJvs4 #ghananews #ghana #ghanaian #tourism #guinness #guinnessworldrecords #guinnessworldrecord #africa,Neutral,"['ghanaian', 'chef', 'faila', 'ends', 'world', 'record', 'cookathon', 'attempt', 'hours', 'ghananews', 'ghana', 'ghanaian', 'tourism', 'guinness', 'guinnessworldrecords', 'guinnessworldrecord', 'africa']"
https://twitter.com/icemone81009479/status/1745386659082858861#m,"#Guinness I been sitting on top of my fears on a reg, I ain't got time to waste on failure.",Negative,"['guinness', 'sitting', 'top', 'fears', 'reg', 'aint', 'got', 'time', 'waste', 'failure']"
https://twitter.com/scenttokyo/status/1745369351350525959#m,#beer #craftbeer #shigakogenbeer #minohbeer #dd4d #meguro #pub #camra #guinness #realale #helpwanted #スタッフ募集中,Neutral,"['beer', 'craftbeer', 'shigakogenbeer', 'minohbeer', 'ddd', 'meguro', 'pub', 'camra', 'guinness', 'realale', 'helpwanted']"
https://twitter.com/eVisitorGuide/status/1745347566999335168#m,".@LizziesIrishPub is the place for great food, drink, awesome river views, and warm, friendly service. Near @TheMagMile & #NavyPier. https://evisitorguide.com/chicago/brochures/lizzie-mcneills-irish-pub-chicago-riverwalk.php #Chicago #travel #budgettravel #chicagoriver #magmile #sightseeing #dining #nightlife #irishpub #guinness",Positive,"['place', 'great', 'food', 'drink', 'awesome', 'river', 'views', 'warm', 'friendly', 'service', 'near', 'navypier', 'chicago', 'travel', 'budgettravel', 'chicagoriver', 'magmile', 'sightseeing', 'dining', 'nightlife', 'irishpub', 'guinness']"
https://twitter.com/shocked_daily/status/1745333205031608532#m,Who did it better - #Guinness or #Fleshlight ?,Positive,"['better', 'guinness', 'fleshlight']"
https://twitter.com/FlyerTalkerinA2/status/1745277354379796656#m,"2023 Annual #Best of Lists #3: 52 Interesting Things Learned, Oddest #Guinness World Records, Best #Podcasts & TV Shows, Best #Travel #Photos - #Travel Blogger Buzz https://buff.ly/47psuZI TBB on!",Positive,"['annual', 'best', 'lists', 'interesting', 'things', 'learned', 'oddest', 'guinness', 'world', 'records', 'best', 'podcasts', 'tv', 'shows', 'best', 'travel', 'photos', 'travel', 'blogger', 'buzz', 'tbb']"
https://twitter.com/eVisitorGuide/status/1745252691364721147#m,"Make @LizziesIrishPub part of your #Chicago plans! Cozy #Irish #pub with great food, plenty of #drink and awesome river-side warm-weather patio. Near @TheMagMile & #navypier. https://evisitorguide.com/chicago/brochures/lizzie-mcneills-irish-pub-chicago-riverwalk.php #Chicago #travel #magmile #sightseeing #dining #nightlife #guinness @NavyPier",Positive,"['make', 'part', 'chicago', 'plans', 'cozy', 'irish', 'pub', 'great', 'food', 'plenty', 'drink', 'awesome', 'riverside', 'warmweather', 'patio', 'near', 'navypier', 'chicago', 'travel', 'magmile', 'sightseeing', 'dining', 'nightlife', 'guinness']"
https://twitter.com/sputnik_afrique/status/1745053372908978517#m,"#FailatuAbdulRazak a battu le #record #Guinness de la #cuisine non-stop 🎉 Elle a passé 10 jours d’affilée aux fourneaux, n’ayant droit qu’à une pause de 5 minutes par heure.",Neutral,"['failatuabdulrazak', 'battu', 'le', 'record', 'guinness', 'de', 'la', 'cuisine', 'nonstop', 'elle', 'pass', 'jours', 'daffile', 'aux', 'fourneaux', 'nayant', 'droit', 'qu', 'une', 'pause', 'de', 'minutes', 'par', 'heure']"
https://twitter.com/sputnik_afrique/status/1745166618853060651#m,"#FailatuAbdulRazak a battu le #record #Guinness de la #cuisine non-stop 🎉 Elle a passé 10 jours d’affilée aux fourneaux, n’ayant droit qu’à une pause de 5 minutes par heure.",Neutral,"['failatuabdulrazak', 'battu', 'le', 'record', 'guinness', 'de', 'la', 'cuisine', 'nonstop', 'elle', 'pass', 'jours', 'daffile', 'aux', 'fourneaux', 'nayant', 'droit', 'qu', 'une', 'pause', 'de', 'minutes', 'par', 'heure']"
https://twitter.com/A_Little_Luney/status/1745224617294217425#m,"We were watching a movie and this commercial/ad came on. Thomas (7) said “what the heck??!!” and started cracking up. He begged me to find it so he could watch again.  If you haven’t seen it, here you go, enjoy.  #GuinnessBeer #Beer #BeerCommercial #HoldingOutForAZero #Guinness",Positive,"['watching', 'movie', 'commercialad', 'came', 'thomas', 'said', 'heck', 'started', 'cracking', 'begged', 'find', 'could', 'watch', 'havent', 'seen', 'go', 'enjoy', 'guinnessbeer', 'beer', 'beercommercial', 'holdingoutforazero', 'guinness']"
