,data,text,stats,links,sentiment
0,https://twitter.com/THEPDS25/status/1744295688001683954#m,How honest can you get on a FIRST date? Especially after a drink of SmirnOff. 🤔   King Matts opens up on his first date with a beautiful Ugandan lady.  #drinkresponsibly #chooseflavourwithedge #drinkresponsibly #paidpartnershipwithEABL #paidpartnershipwithEABL #pds #CanWeTalk,"Jan 8, 2024 · 9:51 AM UTC","{'comments': 1, 'retweets': 2, 'quotes': 0, 'likes': 5}",Positive
1,https://twitter.com/sharon_kiwanuka/status/1718208390361485370#m,#ChooseFlavourWithEdge,"Oct 28, 2023 · 10:09 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 0}",Neutral
2,https://twitter.com/Titusvybes/status/1712901367897935967#m,#AD The Weekend is here and i already have my Smirnoff besides me 😎  #ChooseFlavourWithEdge #MoreFlavourMoreEdge,"Oct 13, 2023 · 6:41 PM UTC","{'comments': 0, 'retweets': 2, 'quotes': 0, 'likes': 23}",Neutral
3,https://twitter.com/sharon_kiwanuka/status/1707412552290906539#m,🥰🥰 makes me want to have a @SmirnoffUganda cocktail. Stat!!! #ChooseFlavourWithEdge,"Sep 28, 2023 · 3:10 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",Positive
4,https://twitter.com/sharon_kiwanuka/status/1707406713479946456#m,#PaidPartnershipWithEABL   Had fun making these @SmirnoffUganda cocktails with @PeshAhumuza on Monday. Learnt a thing or two. Can’t wait for the next ones we make💃🏾  #ChooseFlavourWithEdge,"Sep 28, 2023 · 2:47 PM UTC","{'comments': 1, 'retweets': 11, 'quotes': 0, 'likes': 14}",Positive
5,https://twitter.com/Titusvybes/status/1707010628106297562#m,#AD How about an evening with a Smirnoff Red ice 🤗🥂  #ChooseFlavourWithEdge #MoreFlavourMoreEdge,"Sep 27, 2023 · 12:33 PM UTC","{'comments': 3, 'retweets': 4, 'quotes': 0, 'likes': 34}",Neutral
6,https://twitter.com/sharon_kiwanuka/status/1706353057632534832#m,#PaidPartnershipWithEABL  Passed by @HumaUG today and had a crash course in making cocktails  with my @SmirnoffUganda 😂 This is the end result. 💃🏾 #ChooseFlavourWithEdge,"Sep 25, 2023 · 5:00 PM UTC","{'comments': 1, 'retweets': 22, 'quotes': 1, 'likes': 51}",Negative
7,https://twitter.com/Titusvybes/status/1705925948145570231#m,#AD Cheers to a new week @SmirnoffUganda flavours 🥂  #ChooseFlavourWithEdge #MoreFlavourMoreEdge,"Sep 24, 2023 · 12:43 PM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 3}",Positive
8,https://twitter.com/sharon_kiwanuka/status/1703094086155075798#m,#PaidPartnershipWithEABL  A @SmirnoffUganda babe passed by @wokaen’s ‘BODA BODA : Beyond the Ride’ exhibition earlier today.   #ChooseFlavourWithEdge,"Sep 16, 2023 · 5:10 PM UTC","{'comments': 9, 'retweets': 41, 'quotes': 0, 'likes': 183}",Neutral
9,https://twitter.com/sharon_kiwanuka/status/1702676758879752460#m,#PaidPartnershipWithEABL   Friday evenings are my favourite part of the week 💃🏾  A few hours to Monday but Here’s to a fun filled weekend.   #ChooseFlavourWithEdge,"Sep 15, 2023 · 1:32 PM UTC","{'comments': 3, 'retweets': 27, 'quotes': 1, 'likes': 111}",Positive
10,https://twitter.com/Titusvybes/status/1700179628332036406#m,#AD  Raising that Smirnoff Guarana up is already a sign that it’s a weekend🥂😎  #ChooseFlavourWithEdge #MoreFlavourMoreEdge,"Sep 8, 2023 · 4:09 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 15}",Neutral
11,https://twitter.com/Titusvybes/status/1698375592184274965#m,#AD I’m enjoying my weekend at the Party with @mccasmir with my Smirnoff..! Y’all gat to be here 😊 #ChooseFlavourWithEdge #MoreFlavourMoreEdge,"Sep 3, 2023 · 4:41 PM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 22}",Positive
12,https://twitter.com/Titusvybes/status/1698362274975469939#m,#AD Just logged in at Lazio for the Party with @mccasmir ..! Come let’s party 💯🔥 #ChooseFlavourWithEdge #MoreFlavourMoreEdge,"Sep 3, 2023 · 3:48 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",Positive
